user,text
MrKvnDay,RT @CarlSaganPaleBD: @Mike_Pence Jesus is Anti War https://t.co/eqZaDPK4gC
redwoodninja,@Mike_Pence @Perduesenate @KLoeffler Stfu mike
MaineDestiny,@Mike_Pence @realDonaldTrump Please stop governor dewine he's told them they can go ahead and start shutting utilit… https://t.co/ohRPClvLBD
Dorcas45232990,@Mike_Pence Shame on you. Us. Them. You’re part of the problem. Fear mongering and divisive. You would see our coun… https://t.co/2nxuPrwiz6
yachtharbor9,@Mike_Pence https://t.co/kc78MtlpCR
a_sklena,@Mike_Pence https://t.co/M4uuQcxr90
hart8632,@Mike_Pence @realDonaldTrump @SpaceForceDoD So????
BFcdn555,"RT @FMFord: @Mike_Pence You mean if Trump don’t win, our votes don’t count, don’t ya Mikey?  Got your resume updated yet ‘cause you’ll be u…"
ronreason,"@Mike_Pence @IvankaTrump @realDonaldTrump The only heights you've helped us reach are our 300k dead, due to your mi… https://t.co/ryC2Cwd6A5"
CDB113,@Mike_Pence You protect a proven unfit unbalanced corrupt pathological lying reality TV personality.. Trumps been p… https://t.co/pWPxpHVxip
jeremehall,"@Mike_Pence You run like an excited little girl, Mike."
lovehorses,@Mike_Pence Why should they. It's all rigged right? It is going to be so funny to watch this bite you in the butt a… https://t.co/DPYXdoMEmG
MaryJoCastle1,"@Mike_Pence @NASAKennedy @SecBrouillette @RussVought45 Mikey ,did you forget about 290,000+  dead Americans on your… https://t.co/PqbW7gDTYr"
CanonGwendolyn,@Mike_Pence @Perduesenate @KLoeffler Absolutely want Georgia 🇬🇪 with us... In God We Trust!!!
geminigod,RT @sistercelluloid: @Mike_Pence Don't you have some prancing to do? https://t.co/lG4d2U6F4e
CanonGwendolyn,@Mike_Pence Hallelujah!!!
ea_neil,@Mike_Pence.... https://t.co/SAXBfFGcqa https://t.co/ReYpl9vcA6
Phillyguy60,@Mike_Pence @Perduesenate @KLoeffler Don't vote in Georgia! Important not to support the fix. Your president and vp… https://t.co/XyLUPSVBXW
mferrel81636699,@Mike_Pence You are just as corrupt. https://t.co/H8IxM0qmCr
KINGCHAPPIE1,"@Mike_Pence PRESIDENT TRUMP SAID, IT'S RIGGED!!! WRITE IN TRUMP IN GEORGIA!!! #STOPTHESTEAL"
cecileparker,@Mike_Pence @VP @realDonaldTrump You deserve some of the credit https://t.co/dT6Qqba9lF
AdamPar42834753,@Mike_Pence yr a idiot . Americans are dying.
RosaOwe45577222,@Mike_Pence @Perduesenate @KLoeffler You got that right cuz trump is sabotaging the Republican Party n they either… https://t.co/2l70wJ0ZWW
ByDemocrats,@Mike_Pence Its laced with HIV
Ellenmineaplis,@Mike_Pence https://t.co/s6gHr84Acn
LokeileenLok,"@Mike_Pence Dear Vice President Pence, let us pray and fast for the whole fraud of election to be revealed to the w… https://t.co/An5xTBeOgg"
poirot_sophie,@Mike_Pence @VP @realDonaldTrump https://t.co/huJscr4cEe
dooh2tech,@Mike_Pence time to leave
Christo57521469,@Mike_Pence https://t.co/h33zbeOSdu
JaniceAPerry1,@Mike_Pence We voted you lost good bye
Christo57521469,"@Mike_Pence Who passed me to Trump to CABAL me with @realDonaldTrump , Robert Duncan?"
energy713,@Mike_Pence @Perduesenate @KLoeffler Hosea 4:6  My people are destroyed for lack of knowledge: because thou hast re… https://t.co/URauVXMAYS
NathanGannon6,@Mike_Pence @realDonaldTrump Thanks  to you V.P. Pence and President Trump . Amazing accomplishment. It's funny how… https://t.co/kFbn74Z3Sn
energy713,"@Mike_Pence Hosea 4:6  My people are destroyed for lack of knowledge: because thou hast rejected knowledge, I will… https://t.co/ksDfNw3xR6"
cfbs2691,"RT @redscomics: @Mike_Pence @realDonaldTrump Lies, Lies, Lies, Lies, Lies, Lies, Lies, Lies, Lies, Lies, Lies, Lies, Lies, Lies, Lies, Lies…"
Christo57521469,"@Mike_Pence 4 years a go Robert Duncan asking what taking so long, gaslighting. Robert wasn't in the Philippines wa… https://t.co/1u8FuVu0Pk"
Safrin,"RT @LucyRocks9: @Mike_Pence @realDonaldTrump In a matter of days, under @realDonaldTrump’s leadership, over 9,000 people will die of COVID-…"
ChrisTaylor17,RT @GoddessOfPeace8: @Mike_Pence Hi Assistant #Antichrist: Aren't you afraid of going to Hell someday due to all the #lying you're doing? #…
BarbaraSieg2,@Mike_Pence You are a sad man. What happened you the promises you made in 2016? You have not kept any of them.
BrySol1,@Mike_Pence I think they did.. Dems 82MIL to your Reps 75MIL.. Nov 3rd 2020 ... Last month... Your boss lost 53 cou… https://t.co/bmw53kYktY
MaryJoCastle1,"@Mike_Pence @WhiteHouse @realDonaldTrump Look at mikey wearing a mask, 11 months late. Impeached forever donnie &amp; y… https://t.co/gGcnJBc291"
TeterDavid,@Mike_Pence “My fellow Americans” then you end with “they”.
repubes,@Mike_Pence @VP @GOPLeader @GOP @realDonaldTrump @seanhannity @newsmax https://t.co/tfUzKDx3vO
Shelbyrb12213,@Mike_Pence We already won. GET OUT OF HERE PENCE! Bi den!
